Team,Season,GP,P,ROW,GF,Average Salary,Salary Variation
Anaheim Ducks,20182019,82,80,32,196,3163825.73,2452665.68
Arizona Coyotes,20182019,82,86,35,209,2380287.31,1933145.67
Boston Bruins,20182019,82,107,47,257,3086666.64,2407811.45
Buffalo Sabres,20182019,82,76,28,221,3190584.41,2318066.94
Calgary Flames,20182019,82,107,50,289,2860284.82,2212218.57
Carolina Hurricanes,20182019,82,99,44,243,2556268.09,1911632.16
Chicago Blackhawks,20182019,82,84,33,267,3135440.3,3024167.51
Colorado Avalanche,20182019,82,90,36,258,3106357.12,2187217.36
Columbus Blue Jackets,20182019,82,98,45,256,2786111.1,2099263.69
Dallas Stars,20182019,82,93,42,209,2991810.34,2209755.02
Detroit Red Wings,20182019,82,74,29,224,3258974.08,1778569.23
Edmonton Oilers,20182019,82,79,32,229,3209561.57,2884699.56
Florida Panthers,20182019,82,86,33,264,3041413.04,2156859.82
Los Angeles Kings,20182019,82,71,28,199,2975200.46,2725661.67
Minnesota Wild,20182019,82,83,36,210,2682734.19,2296407.4
Montréal Canadiens,20182019,82,96,41,246,2550727.52,2436916.21
Nashville Predators,20182019,82,100,43,236,2760446.39,2310251.95
New Jersey Devils,20182019,82,72,28,219,2359094.17,1972413.91
New York Islanders,20182019,82,103,43,223,2686698.69,1772538.76
New York Rangers,20182019,82,78,26,221,2675597.74,2314964.05
Ottawa Senators,20182019,82,64,29,242,2412765.14,1831086.57
Philadelphia Flyers,20182019,82,82,34,241,2728698.35,2425053.15
Pittsburgh Penguins,20182019,82,100,42,271,3155466.64,2716622.47
San Jose Sharks,20182019,82,101,46,289,3375277.79,2551299.6
St. Louis Blues,20182019,82,99,42,244,3134871.73,2348538.17
Tampa Bay Lightning,20182019,82,128,56,319,3210069.42,2359686.15
Toronto Maple Leafs,20182019,82,100,46,286,2783015.79,2759395.97
Vancouver Canucks,20182019,82,81,29,219,2203116.09,1588060.38
Vegas Golden Knights,20182019,82,93,40,246,2906696.43,2055552.37
Washington Capitals,20182019,82,104,44,274,3428963.62,2789640.29
Winnipeg Jets,20182019,82,99,45,270,3029697.48,2273249.4
